,Techniques,Rule
196,persisTence,Resources/sigma-master/rules/web/web_webshell_keyword.yml
197,T1100,Resources/sigma-master/rules/web/web_webshell_keyword.yml
198,T1505.003,Resources/sigma-master/rules/web/web_webshell_keyword.yml
199,iniTial_access,Resources/sigma-master/rules/web/web_citrix_cve_2020_8193_8195_exploit.yml
200,T1190,Resources/sigma-master/rules/web/web_citrix_cve_2020_8193_8195_exploit.yml
201,iniTial_access,Resources/sigma-master/rules/web/web_exchange_exploitation_hafnium.yml
202,T1190,Resources/sigma-master/rules/web/web_exchange_exploitation_hafnium.yml
203,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_22005_vmware_file_upload.yml
204,T1190,Resources/sigma-master/rules/web/web_cve_2021_22005_vmware_file_upload.yml
205,iniTial_access,Resources/sigma-master/rules/web/web_cve_2020_0688_msexchange.yml
206,T1190,Resources/sigma-master/rules/web/web_cve_2020_0688_msexchange.yml
207,iniTial_access,Resources/sigma-master/rules/web/web_exchange_cve_2020_0688_exploit.yml
208,T1190,Resources/sigma-master/rules/web/web_exchange_cve_2020_0688_exploit.yml
209,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_21978_vmware_view_planner_exploit.yml
210,T1190,Resources/sigma-master/rules/web/web_cve_2021_21978_vmware_view_planner_exploit.yml
211,iniTial_access,Resources/sigma-master/rules/web/web_cve_2021_33766_msexchange_proxytoken.yml
212,T1190,Resources/sigma-master/rules/web/web_cve_2021_33766_msexchange_proxytoken.yml
213,discovery,Resources/sigma-master/rules/web/web_source_code_enumeration.yml
214,T1083,Resources/sigma-master/rules/web/web_source_code_enumeration.yml
215,command_and_conTrol,Resources/sigma-master/rules/network/net_dns_c2_detection.yml
216,T1071,Resources/sigma-master/rules/network/net_dns_c2_detection.yml
217,T1071.004,Resources/sigma-master/rules/network/net_dns_c2_detection.yml
218,exfilTraTion,Resources/sigma-master/rules/network/net_dns_c2_detection.yml
219,T1048,Resources/sigma-master/rules/network/net_dns_c2_detection.yml
220,T1048.003,Resources/sigma-master/rules/network/net_dns_c2_detection.yml
221,exfilTraTion,Resources/sigma-master/rules/network/net_firewall_high_dns_bytes_out.yml
222,T1048,Resources/sigma-master/rules/network/net_firewall_high_dns_bytes_out.yml
223,T1048.003,Resources/sigma-master/rules/network/net_firewall_high_dns_bytes_out.yml
224,exfilTraTion,Resources/sigma-master/rules/network/net_high_null_records_requests_rate.yml
225,T1048,Resources/sigma-master/rules/network/net_high_null_records_requests_rate.yml
